Date,Year,Month,Quarter,DayOfWeek,Open,High,Low,Close,Volume,Daily_Return_Pct,Cumulative_Return_Pct,Annual_Return_Pct,Volatility_21D,SMA_7,SMA_21,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI_14,BB_Upper,BB_Mid,BB_Lower,BB_Width,ATR_14,OBV
1980-01-16,1980,1,1,Wednesday,111.14,112.9,110.38,111.05,67700000,-0.081,5.0,5.0,,110.05,,,,108.96,107.65,1.31,0.7924,0.5176,50.7,,,,,2.76,298220000.0
1980-01-17,1980,1,1,Thursday,111.05,112.01,109.81,110.7,54170000,-0.3152,4.67,4.67,,110.3,,,,109.23,107.88,1.35,0.904,0.446,48.43,,,,,2.72,244050000.0
1980-01-18,1980,1,1,Friday,110.7,111.74,109.88,111.07,47150000,0.3342,5.02,5.02,,110.59,,,,109.51,108.12,1.39,1.0012,0.3888,50.93,,,,,2.66,291200000.0
1980-01-21,1980,1,1,Monday,111.07,112.9,110.66,112.1,48040000,0.9273,5.99,5.99,,110.91,,,,109.91,108.41,1.5,1.1009,0.3991,57.15,,,,,2.63,339240000.0
1980-01-22,1980,1,1,Tuesday,112.1,113.1,110.92,111.51,50620000,-0.5263,5.44,5.44,,111.14,,,,110.15,108.64,1.51,1.1827,0.3273,53.01,,,,,2.6,288620000.0
1980-01-23,1980,1,1,Wednesday,111.51,113.93,110.93,113.44,50730000,1.7308,7.26,7.26,,111.57,,,,110.66,109.0,1.66,1.2782,0.3818,62.57,,,,,2.63,339350000.0
1980-01-24,1980,1,1,Thursday,113.44,115.27,112.95,113.7,59070000,0.2292,7.51,7.51,,111.94,,,,111.13,109.34,1.79,1.3806,0.4094,63.65,,,,,2.61,398420000.0
1980-01-25,1980,1,1,Friday,113.7,114.45,112.36,113.61,47100000,-0.0792,7.42,7.42,,112.3,,,,111.51,109.66,1.85,1.4744,0.3756,62.97,,,,,2.57,351320000.0
1980-01-28,1980,1,1,Monday,113.61,115.65,112.93,114.85,53620000,1.0915,8.59,8.59,,112.9,,,,112.02,110.05,1.97,1.5736,0.3964,68.0,,,,,2.58,404940000.0
1980-01-29,1980,1,1,Tuesday,114.85,115.77,113.03,114.07,55480000,-0.6791,7.86,7.86,,113.33,,,,112.34,110.34,2.0,1.6588,0.3412,62.27,116.1,110.49,104.87,0.1016,2.59,349460000.0
1980-01-30,1980,1,1,Wednesday,114.07,115.85,113.37,115.2,51170000,0.9906,8.93,8.93,,113.77,110.71,,,112.78,110.7,2.08,1.7431,0.3369,66.65,116.49,110.96,105.43,0.0997,2.58,400630000.0
1980-01-31,1980,1,1,Thursday,115.2,117.17,113.78,114.16,65900000,-0.9028,7.94,7.94,0.7794,114.15,111.11,,,112.99,110.96,2.03,1.8005,0.2295,59.77,116.4,111.41,106.41,0.0897,2.64,334730000.0
1980-02-01,1980,2,1,Friday,114.16,115.54,113.13,115.12,46610000,0.8409,8.85,8.85,0.7588,114.39,111.58,,,113.32,111.27,2.05,1.8504,0.1996,63.52,116.53,111.84,107.14,0.084,2.62,381340000.0
1980-02-04,1980,2,1,Monday,115.12,116.01,113.83,114.37,43070000,-0.6515,8.14,8.14,0.7705,114.48,111.96,,,113.48,111.5,1.98,1.8763,0.1037,58.91,116.4,112.21,108.03,0.0746,2.59,338270000.0
1980-02-05,1980,2,1,Tuesday,114.37,115.25,112.15,114.66,41880000,0.2536,8.42,8.42,0.7706,114.63,112.33,,,113.66,111.73,1.93,1.887,0.043,60.11,116.52,112.5,108.48,0.0715,2.63,380150000.0
1980-02-06,1980,2,1,Wednesday,114.66,116.57,113.65,115.72,51950000,0.9245,9.42,9.42,0.6855,114.76,112.65,,,113.98,112.03,1.95,1.8996,0.0504,64.24,116.76,112.83,108.91,0.0696,2.65,432100000.0
1980-02-07,1980,2,1,Thursday,115.72,117.87,115.22,116.28,57690000,0.4839,9.95,9.95,0.6852,115.07,113.0,,,114.33,112.34,1.99,1.9177,0.0723,66.23,117.11,113.15,109.2,0.0699,2.65,489790000.0
1980-02-08,1980,2,1,Friday,116.28,118.66,115.72,117.95,57860000,1.4362,11.53,11.53,0.722,115.47,113.38,,,114.89,112.76,2.13,1.9602,0.1698,71.35,117.75,113.55,109.36,0.0739,2.67,547650000.0
1980-02-11,1980,2,1,Monday,117.95,119.05,116.31,117.12,58660000,-0.7037,10.74,10.74,0.7547,115.89,113.72,,,115.23,113.08,2.15,1.9981,0.1519,66.0,118.1,113.89,109.69,0.0738,2.68,488990000.0
1980-02-12,1980,2,1,Tuesday,117.12,118.41,115.75,117.9,48090000,0.666,11.48,11.48,0.7585,116.29,114.08,,,115.64,113.44,2.2,2.0385,0.1615,68.4,118.59,114.23,109.87,0.0763,2.67,537080000.0
1980-02-13,1980,2,1,Wednesday,117.9,120.22,117.57,118.44,65230000,0.458,11.99,11.99,0.7545,116.87,114.43,,,116.07,113.81,2.26,2.0828,0.1772,69.98,119.07,114.6,110.12,0.0781,2.67,602310000.0
1980-02-14,1980,2,1,Thursday,118.44,119.3,116.04,116.72,50540000,-1.4522,10.36,10.36,0.8438,117.16,114.7,,,116.17,114.02,2.15,2.0962,0.0538,59.73,119.07,114.9,110.73,0.0726,2.71,551770000.0
1980-02-15,1980,2,1,Friday,116.7,116.7,114.12,115.41,46680000,-1.1223,9.12,9.12,0.8876,117.12,114.92,,,116.06,114.13,1.93,2.063,-0.133,53.33,118.88,115.12,111.35,0.0654,2.71,505090000.0
1980-02-19,1980,2,1,Tuesday,115.41,115.67,113.35,114.6,39480000,-0.7018,8.36,8.36,0.9084,116.88,115.09,,,115.83,114.16,1.67,1.9844,-0.3144,49.78,118.74,115.24,111.74,0.0607,2.68,465610000.0
1980-02-20,1980,2,1,Wednesday,114.6,117.18,114.06,116.47,44340000,1.6318,10.13,10.13,0.9505,116.67,115.3,,,115.93,114.33,1.6,1.9075,-0.3075,56.91,118.55,115.49,112.43,0.053,2.71,509950000.0
1980-02-21,1980,2,1,Thursday,116.47,117.9,114.44,115.28,51530000,-1.0217,9.0,9.0,0.9749,116.4,115.48,,,115.83,114.4,1.43,1.812,-0.382,51.86,118.49,115.58,112.67,0.0504,2.76,458420000.0
1980-02-22,1980,2,1,Friday,115.28,116.46,113.43,115.04,48210000,-0.2082,8.77,8.77,0.9086,115.99,115.56,,,115.71,114.45,1.26,1.7016,-0.4416,50.88,118.43,115.65,112.86,0.0482,2.78,410210000.0
1980-02-25,1980,2,1,Monday,114.93,114.93,112.62,113.33,39140000,-1.4864,7.16,7.16,0.9687,115.26,115.54,,,115.34,114.37,0.97,1.5553,-0.5853,44.43,118.46,115.63,112.81,0.0489,2.76,371070000.0
1980-02-26,1980,2,1,Tuesday,113.33,114.76,112.3,113.98,40000000,0.5735,7.77,7.77,0.9769,114.87,115.56,,,115.13,114.34,0.79,1.4022,-0.6122,47.17,118.5,115.59,112.69,0.0503,2.74,411070000.0
1980-02-27,1980,2,1,Wednesday,113.98,115.12,111.91,112.38,46430000,-1.4038,6.26,6.26,0.9917,114.44,115.44,,,114.71,114.19,0.52,1.2258,-0.7058,41.72,118.68,115.51,112.33,0.055,2.77,364640000.0
1980-02-28,1980,2,1,Thursday,112.38,113.7,111.33,112.35,40330000,-0.0267,6.23,6.23,0.9828,114.12,115.36,,,114.35,114.06,0.29,1.0386,-0.7486,41.62,118.84,115.36,111.89,0.0602,2.74,324310000.0
1980-02-29,1980,2,1,Friday,112.35,114.12,111.77,113.66,38810000,1.166,7.47,7.47,0.9929,113.72,115.28,,,114.24,114.03,0.21,0.8729,-0.6629,47.39,118.86,115.34,111.82,0.061,2.71,363120000.0
1980-03-03,1980,3,1,Monday,113.66,114.34,112.01,112.5,38690000,-1.0206,6.37,6.37,0.9982,113.32,115.2,,,113.97,113.91,0.06,0.7103,-0.6503,43.31,118.95,115.21,111.47,0.0649,2.69,324430000.0
1980-03-04,1980,3,1,Tuesday,112.5,113.41,110.83,112.78,44310000,0.2489,6.64,6.64,0.9795,113.0,115.09,,,113.79,113.83,-0.04,0.5603,-0.6003,44.55,119.01,115.13,111.25,0.0674,2.68,368740000.0
1980-03-05,1980,3,1,Wednesday,112.78,113.94,110.58,111.13,49240000,-1.463,5.08,5.08,1.0179,112.68,114.94,,,113.38,113.63,-0.25,0.3982,-0.6482,39.12,119.23,114.95,110.68,0.0744,2.73,319500000.0
1980-03-06,1980,3,1,Thursday,111.13,111.29,107.85,108.65,49610000,-2.2316,2.73,2.73,1.1111,111.92,114.65,,,112.65,113.26,-0.61,0.1966,-0.8066,32.67,119.69,114.6,109.5,0.0889,2.78,269890000.0
1980-03-07,1980,3,1,Friday,108.65,108.96,105.99,106.9,50950000,-1.6107,1.08,1.08,1.1148,111.14,114.23,,,111.77,112.79,-1.02,-0.0467,-0.9733,29.04,120.21,114.13,108.05,0.1065,2.79,218940000.0
1980-03-10,1980,3,1,Monday,106.9,107.86,104.92,106.51,43750000,-0.3648,0.71,0.71,1.0975,110.3,113.77,,,110.96,112.32,-1.36,-0.3094,-1.0506,28.28,120.24,113.56,106.87,0.1177,2.8,175190000.0
1980-03-11,1980,3,1,Tuesday,106.51,108.54,106.18,107.78,41350000,1.1924,1.91,1.91,1.0781,109.46,113.28,,,110.47,111.99,-1.52,-0.5515,-0.9685,34.28,120.03,113.09,106.15,0.1227,2.77,216540000.0
1980-03-12,1980,3,1,Wednesday,107.78,108.4,105.42,106.87,37990000,-0.8443,1.05,1.05,1.0804,108.66,112.79,112.38,,109.92,111.61,-1.69,-0.7792,-0.9108,32.2,119.62,112.54,105.46,0.1258,2.79,178550000.0
1980-03-13,1980,3,1,Thursday,106.87,107.55,105.1,105.62,33070000,-1.1696,-0.13,-0.13,1.0614,107.64,112.21,112.38,,109.25,111.17,-1.92,-1.0074,-0.9126,29.55,119.05,111.9,104.75,0.1278,2.76,145480000.0
1980-03-14,1980,3,1,Friday,105.62,106.49,104.01,105.43,35180000,-0.1799,-0.31,-0.31,1.041,106.82,111.59,112.38,,108.67,110.74,-2.07,-1.2199,-0.8501,29.16,118.66,111.33,104.0,0.1317,2.74,110300000.0
1980-03-17,1980,3,1,Monday,105.23,105.23,101.82,102.26,37020000,-3.0067,-3.31,-3.31,1.1573,105.91,110.9,112.3,,107.68,110.11,-2.43,-1.4619,-0.9681,23.54,118.78,110.68,102.57,0.1465,2.8,73280000.0
1980-03-18,1980,3,1,Tuesday,102.26,104.71,101.14,104.1,47340000,1.7993,-1.57,-1.57,1.2647,105.51,110.36,112.24,,107.13,109.67,-2.54,-1.6775,-0.8625,31.76,118.54,110.15,101.76,0.1523,2.86,120620000.0
1980-03-19,1980,3,1,Wednesday,104.1,105.72,103.35,104.31,36520000,0.2017,-1.37,-1.37,1.2722,105.2,109.87,112.15,,106.7,109.27,-2.57,-1.856,-0.714,32.65,117.77,109.54,101.32,0.1502,2.82,157140000.0
1980-03-20,1980,3,1,Thursday,104.31,105.17,102.52,103.12,32580000,-1.1408,-2.5,-2.5,1.1876,104.53,109.24,112.03,,106.15,108.81,-2.66,-2.0168,-0.6432,30.24,117.17,108.94,100.7,0.1512,2.81,124560000.0
